inscricao,idade,sexo,conclusao_ens_med,tipo_ens_med,treineiro,cadeira_canhoto,gestante,idoso,celular_na_residencia,internet_na_residencia,pessoas_na_residencia,renda_mensal_familiar,nota_ct,nota_ch,nota_lc,nota_mt,nota_redacao,estado,municipio,municipio_id
1037415,20,M,Concluído,1,0,0,0,0,1,A,4,2994.00 até 3992.00,500.4,553.8,542.0,495.5,520.0,DF,BRASÍLIA,5300108
1115416,17,F,Cursando,2,0,0,0,0,1,B,5,4990.00 até 5988.00,566.4,579.0,581.8,500.1,580.0,SP,EMBU DAS ARTES,3515004
1444961,19,M,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,,,,,,RJ,PETRÓPOLIS,3303906
1122812,22,M,Concluído,1,0,0,0,0,1,B,1,<= 998.00,,,,,,SP,ENGENHEIRO COELHO,3515152
2011329,34,M,Concluído,1,0,0,0,0,1,B,5,1497.00 até 1996.00,492.8,389.5,530.0,619.7,500.0,GO,APARECIDA DE GOIÂNIA,5201405
3309011,19,M,Cursando,2,0,0,0,0,1,B,4,1996.00 até 2495.00,447.2,534.9,494.5,452.8,540.0,TO,TOCANTINÓPOLIS,1721208
4334962,17,M,Cursando,1,1,0,0,0,1,B,5,7984.00 até 8982.00,500.9,559.8,555.8,677.9,760.0,SP,GUARULHOS,3518800
2918789,21,M,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,453.4,581.6,566.4,433.2,580.0,SE,ARACAJU,2800308
3199296,21,F,Concluído,1,0,0,0,0,1,A,2,1996.00 até 2495.00,,,,,,SP,SANTOS,3548500
4269307,15,M,Cursando,1,1,0,0,0,1,B,3,<= 998.00,608.9,473.8,578.3,440.9,820.0,BA,ITAPETINGA,2916401
1472275,23,M,Concluído,1,0,0,0,0,1,B,4,<= 998.00,519.8,556.9,438.0,390.1,520.0,SP,IRACEMÁPOLIS,3521408
3921088,28,F,Concluído,1,0,0,0,0,1,B,4,<= 998.00,,,,,,PA,CONCEIÇÃO DO ARAGUAIA,1502707
890115,19,M,Concluído,1,0,0,0,0,1,B,3,4990.00 até 5988.00,647.4,634.9,641.8,729.0,680.0,SP,SÃO PAULO,3550308
1498641,16,F,Cursando,1,1,0,0,0,1,B,4,14970.00 até 19960.00,505.9,590.2,556.1,520.7,680.0,SP,SÃO PAULO,3550308
2683735,36,F,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,,,,,,PR,PIRAQUARA,4119509
496916,21,F,Concluído,1,0,0,0,0,1,A,3,<= 998.00,471.3,475.5,474.0,504.2,0.0,RN,TIBAU DO SUL,2414209
587511,19,F,Cursando,2,0,0,0,0,1,B,4,6986.00 até 7984.00,611.0,677.0,632.6,677.0,920.0,RJ,RIO DE JANEIRO,3304557
609713,28,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,,,,,,SP,REGISTRO,3542602
